Cities,Lat,Long
Ahmedabad,23.033863,72.585022
Barcelona,41.390205,2.154007
Bologna,44.498955,11.327591
Brasilia,-15.793889,-47.882778
Cairo,30.033333,31.233334
Los Angeles,34.052235,-118.243683
London,51.509865,-0.118092
New Delhi,28.6448,77.216721
New York,40.73061,-73.935242
Paris,48.864716,2.349014
Richmond,37.54129,-77.434769
Savannah,32.076176,-81.088371
Seoul,37.5326,127.024612
San Francisco,37.773972,-122.431297
Venice,45.438759,12.327145
Vienna,48.210033,16.363449
Washington,47.751076,-120.740135
Walnut Creek,37.910076,-122.065186